YEAR,TEAM,TEAM_short,Payroll,Salary Cap,Ovr_salary_cap,Age_avg,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G,Champ,Champ_cum,Champ_cum_local,MVP,MVP_cum,All_star,All_NBA,Gs_H,TOTAL_H,AVG_H,Gs_A,AVG_A,TOTAL_overall,AVG_overall,TOTAL_H_YOY,AVG_H_YOY,AVG_A_YOY,TOTAL_overall_YOY,AVG_overall_YOY2
2002,Detroit Pistons,Pistons,85993039,42500000,1,28.2,27,55,24,58,-5.82,0.63,-5.19,101.4,107.8,-6.4,90.4,0.256,0.187,0.495,0.455,13.6,30.6,0.19,0.492,13.6,69.9,0.245,Pepsi Center,633846,15460,0,2,2,0,0,1,1,41,760807,18556,41,16417,1433852,17486,25.27,25.28,0.12,12.06,12.06
2002,Golden State Warriors,Warriors,84292850,42500000,1,29.5,50,32,48,34,2.13,-0.45,1.69,104.8,102.4,2.4,90,0.31,0.24,0.54,0.497,14.3,24.4,0.235,0.474,14.8,70.5,0.206,The Palace of Auburn Hills,760807,18556,0,3,1,0,0,0,0,41,593182,14467,41,16202,1257470,15335,0.2,0.2,0.9,0.57,0.57
2002,Houston Rockets,Rockets,45556733,42500000,1,24.8,21,61,26,56,-5.4,0.61,-4.8,102.8,108.5,-5.7,94.5,0.335,0.142,0.499,0.452,14.7,35.3,0.242,0.488,12.9,69.4,0.232,The Arena in Oakland,593182,14468,0,2,2,0,0,1,1,41,481227,11737,41,16551,1159808,14144,-7.2,-7.2,-0.98,-3.65,-3.65
2002,Indiana Pacers,Pacers,45844814,42500000,1,25.9,28,54,27,55,-4.89,0.58,-4.31,103.1,108.6,-5.5,88.2,0.286,0.223,0.507,0.465,13.4,29,0.211,0.491,11.5,69.8,0.178,Compaq Center,481227,11737,0,0,0,0,0,2,1,41,686537,16744,41,16677,1370302,16711,-6.4,-6.4,1.02,-2.83,-2.83
2002,LA Clippers,Clippers,54460475,42500000,1,26.1,42,40,42,40,0.27,-0.34,-0.07,104.1,103.8,0.3,91.9,0.328,0.182,0.527,0.477,14.2,27,0.253,0.469,13.2,71,0.227,Conseco Fieldhouse,686537,16745,0,0,0,0,0,0,0,41,740185,18053,41,16569,1419502,17311,23.48,23.48,4.71,13.72,13.72
2002,Los Angeles Lakers,Lakers,42417677,42500000,0,24.4,39,43,40,42,-0.46,0.38,-0.09,105.5,106,-0.5,90.1,0.304,0.172,0.519,0.476,13.8,31.3,0.225,0.477,12.1,69.9,0.194,STAPLES Center,740185,18053,1,14,9,0,0,3,3,41,778877,18997,41,20102,1603018,19549,0.33,0.33,2.41,1.39,1.39
2002,Memphis Grizzlies,Grizzlies,45984001,42500000,1,27.9,58,24,60,22,7.12,0.03,7.15,109.4,101.7,7.7,92.1,0.313,0.21,0.534,0.498,11.8,28.8,0.218,0.453,13,72,0.233,STAPLES Center,778777,18995,0,0,0,0,0,0,0,41,591030,14415,41,15841,1240496,15128,4.94,4.94,0.12,2.36,2.36
2002,Miami Heat,Heat,54921012,42500000,1,25.5,23,59,20,62,-7.44,0.7,-6.74,98.2,106.3,-8.1,91.1,0.288,0.168,0.501,0.462,15.4,27.8,0.204,0.486,13.7,68,0.197,Pyramid Arena,591030,14415,0,0,0,0,0,1,1,41,655549,15989,41,16702,1340290,16345,-3.2,-3.19,-2.02,-2.6,-2.6
2002,Milwaukee Bucks,Bucks,58073366,42500000,1,30.1,36,46,36,46,-1.54,-0.31,-1.84,98.5,100.2,-1.7,87.4,0.268,0.141,0.501,0.463,14.6,26.6,0.194,0.455,13.6,74,0.249,AmericanAirlines Arena,655549,15989,0,1,1,0,0,0,0,41,745305,18178,41,17043,1444020,17610,9.1,9.11,2.77,5.94,5.94
2002,Minnesota Timberwolves,Timberwolves,53351186,42500000,1,28.9,41,41,40,42,-0.22,-0.4,-0.62,106.9,107.1,-0.2,90.2,0.269,0.241,0.544,0.507,13.6,25.6,0.201,0.477,12,70.9,0.217,Bradley Center,745305,18178,0,0,0,0,0,1,1,41,731673,17845,41,16961,1427046,17403,1.99,1.99,1.04,1.52,1.52
2002,New Orleans Pelicans,Pelicans,52657161,42500000,1,26.7,50,32,51,31,3.38,0.2,3.58,109,105.3,3.7,90.5,0.255,0.152,0.532,0.49,12.5,31.3,0.203,0.482,12.7,73.7,0.218,Target Center,731673,17846,0,0,0,0,0,0,0,41,462738,11286,41,16457,1137422,13871,-24.81,-24.81,-0.26,-11.96,-11.96
2002,New York Knicks,NY Knicks,45649974,42500000,1,30.3,30,52,29,53,-3.99,-0.16,-4.15,101.5,105.9,-4.4,89.7,0.274,0.206,0.514,0.468,14,25.6,0.216,0.479,12.9,71.9,0.236,Madison Square Garden (IV),810283,19763,0,2,2,0,0,0,0,41,810283,19763,41,17082,1510604,18422,0,0,-3.38,-1.6,-1.6
2002,Oklahoma City Thunder,Thunder,52642362,42500000,1,26.9,45,37,50,32,3.02,0.22,3.24,108.9,105.6,3.3,89,0.25,0.193,0.54,0.505,13.2,29.4,0.189,0.485,14.5,68.1,0.206,KeyArena at Seattle Center,633516,15452,0,1,0,0,0,0,0,41,633516,15451,41,16013,1290024,15732,-1.14,-1.15,-2.93,-2.06,-2.06
2002,Orlando Magic,Magic,55093782,42500000,1,28,44,38,46,36,1.57,-0.32,1.25,107,105.3,1.7,93.2,0.278,0.241,0.533,0.493,12.6,26.3,0.21,0.486,14.4,69.2,0.215,TD Waterhouse Centre,621121,15149,0,0,0,0,0,0,0,41,621121,15149,41,17345,1332254,16247,2.66,2.66,3.18,2.94,2.94
2002,Philadelphia 76ers,76ers,57960080,42500000,1,29,43,39,46,36,1.6,-0.33,1.27,102.1,100.3,1.8,88.9,0.327,0.111,0.507,0.452,14.6,31.7,0.255,0.46,14.2,72.1,0.208,First Union Center,842976,20560,0,3,2,0,0,1,1,41,842976,20560,41,18720,1610480,19640,4.63,4.63,0.74,2.74,2.74
2002,Phoenix Suns,Suns,56224266,42500000,1,26.5,36,46,39,43,-0.68,0.39,-0.3,103.3,104,-0.7,91.4,0.235,0.158,0.51,0.472,13.6,30.1,0.18,0.476,14.4,70.2,0.227,America West Arena,668939,16316,0,0,0,0,0,0,0,41,668939,16315,41,16765,1356280,16540,-9.31,-9.31,-2.28,-5.88,-5.88
2002,Portland Trail Blazers,Trail Blazers,47515677,42500000,1,29,49,33,50,32,2.99,0.22,3.21,107.4,104,3.4,89.3,0.285,0.198,0.528,0.485,13.5,31.8,0.218,0.489,14.2,73.3,0.202,Rose Garden Arena,797821,19459,0,1,1,0,0,1,0,41,797821,19459,41,16483,1473622,17971,-4.04,-4.03,-3.25,-3.68,-3.68
2002,Sacramento Kings,Kings,54776087,42500000,1,27,61,21,61,21,7.61,0,7.61,109,101.1,7.9,95.6,0.308,0.166,0.539,0.497,12.4,27.9,0.231,0.467,13.6,71.7,0.185,ARCO Arena (II),709997,17317,0,1,0,0,0,1,0,41,709997,17317,41,17701,1435738,17509,0,0,-4,-2.06,-2.06
